frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m,Vx_m_s,Vy_m_s,Vz_m_s,V_m_s
0,0.0000,730,211,14,0.707143,-1.170714,7.316617,7.443353,,,,
1,0.0333,730,210,14,0.707143,-1.178571,7.316617,7.444593,0.000000,-0.235714,0.000000,0.235714
2,0.0667,731,211,14,0.715000,-1.170714,7.316617,7.444104,0.235714,0.235714,0.000000,0.333350
3,0.1000,730,211,14,0.707143,-1.170714,7.316617,7.443353,-0.235714,0.000000,0.000000,0.235714
4,0.1333,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
5,0.1667,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
6,0.2000,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
7,0.2333,730,212,14,0.707143,-1.162857,7.316617,7.442121,0.000000,0.235714,0.000000,0.235714
8,0.2667,730,212,13,0.761538,-1.252308,7.879434,8.014592,1.631868,-2.683516,16.884500,17.174126
9,0.3000,729,212,13,0.753077,-1.252308,7.879434,8.013793,-0.253846,0.000000,0.000000,0.253846
10,0.3333,730,212,13,0.761538,-1.252308,7.879434,8.014592,0.253846,0.000000,0.000000,0.253846
11,0.3667,729,212,13,0.753077,-1.252308,7.879434,8.013793,-0.253846,0.000000,0.000000,0.253846
12,0.4000,,,,,,,,,,,
13,0.4333,,,,,,,,,,,
14,0.4667,,,,,,,,,,,
15,0.5000,,,,,,,,,,,
16,0.5333,,,,,,,,,,,
17,0.5667,,,,,,,,,,,
18,0.6000,,,,,,,,,,,
19,0.6333,,,,,,,,,,,
20,0.6667,,,,,,,,,,,
21,0.7000,,,,,,,,,,,
22,0.7333,,,,,,,,,,,
23,0.7667,,,,,,,,,,,
24,0.8000,,,,,,,,,,,
25,0.8333,,,,,,,,,,,
26,0.8667,,,,,,,,,,,
27,0.9000,,,,,,,,,,,
28,0.9333,,,,,,,,,,,
29,0.9667,,,,,,,,,,,
30,1.0000,,,,,,,,,,,
31,1.0333,,,,,,,,,,,
32,1.0667,,,,,,,,,,,
33,1.1000,,,,,,,,,,,
34,1.1333,,,,,,,,,,,
35,1.1667,733,219,5,2.046000,-3.102000,20.486527,20.820814,1.616154,-2.312115,15.758867,16.009364
36,1.2000,733,218,6,1.705000,-2.603333,17.072106,17.353420,-10.230000,14.960000,-102.432636,104.023552
37,1.2333,733,218,6,1.705000,-2.603333,17.072106,17.353420,0.000000,0.000000,0.000000,0.000000
38,1.2667,732,218,6,1.686667,-2.603333,17.072106,17.351628,-0.550000,0.000000,0.000000,0.550000
39,1.3000,732,218,7,1.445714,-2.231429,14.633234,14.872824,-7.228571,11.157143,-73.166168,74.364119
40,1.3333,732,218,7,1.445714,-2.231429,14.633234,14.872824,0.000000,0.000000,0.000000,0.000000
41,1.3667,733,218,6,1.705000,-2.603333,17.072106,17.353420,7.778571,-11.157143,73.166168,74.419595
42,1.4000,733,218,6,1.705000,-2.603333,17.072106,17.353420,0.000000,0.000000,0.000000,0.000000
43,1.4333,,,,,,,,,,,
44,1.4667,,,,,,,,,,,
45,1.5000,,,,,,,,,,,
46,1.5333,731,218,5,2.002000,-3.124000,20.486527,20.819826,2.227500,-3.905000,25.608159,25.999780
47,1.5667,732,217,8,1.265000,-1.966250,12.804079,13.015791,-22.110000,34.732500,-230.473430,234.122192
48,1.6000,732,218,6,1.686667,-2.603333,17.072106,17.351628,12.650000,-19.112500,128.040795,130.075959
49,1.6333,732,218,8,1.265000,-1.952500,12.804079,13.013721,-12.650000,19.525000,-128.040795,130.137209
50,1.6667,,,,,,,,,,,
51,1.7000,733,218,7,1.461429,-2.231429,14.633234,14.874360,2.946429,-4.183929,27.437313,27.910443
52,1.7333,734,218,6,1.723333,-2.603333,17.072106,17.355230,7.857143,-11.157143,73.166168,74.427849
53,1.7667,732,218,7,1.445714,-2.231429,14.633234,14.872824,-8.328571,11.157143,-73.166168,74.479092
54,1.8000,735,216,9,1.161111,-1.760000,11.381404,11.575065,-8.538095,14.142857,-97.554891,98.943803
55,1.8333,736,217,9,1.173333,-1.747778,11.381404,11.574446,0.366667,0.366667,0.000000,0.518545
56,1.8667,736,216,8,1.320000,-1.980000,12.804079,13.023335,4.400000,-6.966667,42.680265,43.468373
57,1.9000,734,218,6,1.723333,-2.603333,17.072106,17.355230,12.100000,-18.700000,128.040795,129.963630
58,1.9333,734,218,6,1.723333,-2.603333,17.072106,17.355230,0.000000,0.000000,0.000000,0.000000
59,1.9667,734,218,6,1.723333,-2.603333,17.072106,17.355230,0.000000,0.000000,0.000000,0.000000
60,2.0000,735,215,11,0.950000,-1.450000,9.312058,9.472034,-23.200000,34.600000,-232.801445,236.499287
61,2.0333,735,215,12,0.870833,-1.329167,8.536053,8.682697,-2.375000,3.625000,-23.280144,23.680084
62,2.0667,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
63,2.1000,735,215,11,0.950000,-1.450000,9.312058,9.472034,2.375000,-3.625000,23.280144,23.680084
64,2.1333,735,215,12,0.870833,-1.329167,8.536053,8.682697,-2.375000,3.625000,-23.280144,23.680084
65,2.1667,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
66,2.2000,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
67,2.2333,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
68,2.2667,735,215,11,0.950000,-1.450000,9.312058,9.472034,2.375000,-3.625000,23.280144,23.680084
69,2.3000,735,213,13,0.803846,-1.243846,7.879434,8.017406,-4.384615,6.184615,-42.978728,43.642243
70,2.3333,736,215,11,0.960000,-1.450000,9.312058,9.473042,4.684615,-6.184615,42.978728,43.673403
71,2.3667,735,213,13,0.803846,-1.243846,7.879434,8.017406,-4.684615,6.184615,-42.978728,43.673403
72,2.4000,734,213,13,0.795385,-1.243846,7.879434,8.016562,-0.253846,0.000000,0.000000,0.253846
73,2.4333,733,211,13,0.786923,-1.260769,7.879434,8.018370,-0.253846,-0.507692,0.000000,0.567617
74,2.4667,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.253846,0.253846,0.000000,0.358993
75,2.5000,733,211,13,0.786923,-1.260769,7.879434,8.018370,-0.253846,-0.253846,0.000000,0.358993
76,2.5333,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.253846,0.253846,0.000000,0.358993
77,2.5667,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
78,2.6000,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
79,2.6333,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
80,2.6667,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
81,2.7000,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
82,2.7333,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
83,2.7667,734,210,13,0.795385,-1.269231,7.879434,8.020540,0.000000,-0.507692,0.000000,0.507692
84,2.8000,732,210,14,0.722857,-1.178571,7.316617,7.446102,-2.175824,2.719780,-16.884500,17.240005
85,2.8333,733,210,14,0.730714,-1.178571,7.316617,7.446869,0.235714,0.000000,0.000000,0.235714
86,2.8667,733,210,13,0.786923,-1.269231,7.879434,8.019705,1.686264,-2.719780,16.884500,17.185082
87,2.9000,734,210,13,0.795385,-1.269231,7.879434,8.020540,0.253846,0.000000,0.000000,0.253846
88,2.9333,734,210,13,0.795385,-1.269231,7.879434,8.020540,0.000000,0.000000,0.000000,0.000000
89,2.9667,732,209,14,0.722857,-1.186429,7.316617,7.447350,-2.175824,2.484066,-16.884500,17.204393
90,3.0000,732,210,14,0.722857,-1.178571,7.316617,7.446102,0.000000,0.235714,0.000000,0.235714
91,3.0333,732,210,14,0.722857,-1.178571,7.316617,7.446102,0.000000,0.000000,0.000000,0.000000
92,3.0667,732,211,14,0.722857,-1.170714,7.316617,7.444862,0.000000,0.235714,0.000000,0.235714
93,3.1000,733,211,14,0.730714,-1.170714,7.316617,7.445629,0.235714,0.000000,0.000000,0.235714
94,3.1333,733,212,14,0.730714,-1.162857,7.316617,7.444398,0.000000,0.235714,0.000000,0.235714
95,3.1667,736,215,14,0.754286,-1.139286,7.316617,7.443104,0.707143,0.707143,0.000000,1.000051
96,3.2000,736,216,14,0.754286,-1.131429,7.316617,7.441906,0.000000,0.235714,0.000000,0.235714
97,3.2333,738,216,14,0.770000,-1.131429,7.316617,7.443515,0.471429,0.000000,0.000000,0.471429
98,3.2667,741,218,14,0.793571,-1.115714,7.316617,7.443618,0.707143,0.471429,0.000000,0.849880
99,3.3000,745,218,14,0.825000,-1.115714,7.316617,7.447035,0.942857,0.000000,0.000000,0.942857
100,3.3333,748,216,14,0.848571,-1.131429,7.316617,7.452052,0.707143,-0.471429,0.000000,0.849880
101,3.3667,753,216,14,0.887857,-1.131429,7.316617,7.456628,1.178571,0.000000,0.000000,1.178571
102,3.4000,758,215,14,0.927143,-1.139286,7.316617,7.462603,1.178571,-0.235714,0.000000,1.201912
103,3.4333,763,215,14,0.966429,-1.139286,7.316617,7.467586,1.178571,0.000000,0.000000,1.178571
104,3.4667,767,215,14,0.997857,-1.139286,7.316617,7.471718,0.942857,0.000000,0.000000,0.942857
105,3.5000,774,215,14,1.052857,-1.139286,7.316617,7.479262,1.650000,0.000000,0.000000,1.650000
106,3.5333,778,215,14,1.084286,-1.139286,7.316617,7.483751,0.942857,0.000000,0.000000,0.942857
107,3.5667,784,215,14,1.131429,-1.139286,7.316617,7.490727,1.414286,0.000000,0.000000,1.414286
108,3.6000,788,215,14,1.162857,-1.139286,7.316617,7.495538,0.942857,0.000000,0.000000,0.942857
109,3.6333,793,216,14,1.202143,-1.131429,7.316617,7.500544,1.178571,0.235714,0.000000,1.201912
110,3.6667,797,217,13,1.328462,-1.210000,7.879434,8.081731,3.789560,-2.357143,16.884500,17.464342
111,3.7000,800,216,15,1.173333,-1.056000,6.828842,7.008918,-4.653846,4.620000,-31.517734,32.192705
112,3.7333,802,218,14,1.272857,-1.115714,7.316617,7.509851,2.985714,-1.791429,14.633234,15.041783
113,3.7667,804,220,14,1.288571,-1.100000,7.316617,7.510213,0.471429,0.471429,0.000000,0.666701
114,3.8000,804,221,14,1.288571,-1.092143,7.316617,7.509066,0.000000,0.235714,0.000000,0.235714
115,3.8333,803,222,14,1.280714,-1.084286,7.316617,7.506583,-0.235714,0.235714,0.000000,0.333350
116,3.8667,794,220,14,1.210000,-1.100000,7.316617,7.497132,-2.121429,-0.471429,0.000000,2.173178
117,3.9000,786,216,15,1.070667,-1.056000,6.828842,6.992464,-4.180000,1.320000,-14.633234,15.275678
118,3.9333,778,218,15,1.012000,-1.041333,6.828842,6.981519,-1.760000,0.440000,0.000000,1.814166
119,3.9667,773,219,14,1.045000,-1.107857,7.316617,7.473437,0.990000,-1.995714,14.633234,14.801841
120,4.0000,765,219,14,0.982143,-1.107857,7.316617,7.464907,-1.885714,0.000000,0.000000,1.885714
121,4.0333,759,219,14,0.935000,-1.107857,7.316617,7.458851,-1.414286,0.000000,0.000000,1.414286
122,4.0667,751,219,14,0.872143,-1.107857,7.316617,7.451232,-1.885714,0.000000,0.000000,1.885714
123,4.1000,747,219,14,0.840714,-1.107857,7.316617,7.447619,-0.942857,0.000000,0.000000,0.942857
124,4.1333,741,219,14,0.793571,-1.107857,7.316617,7.442445,-1.414286,0.000000,0.000000,1.414286
125,4.1667,745,221,14,0.825000,-1.092143,7.316617,7.443540,0.942857,0.471429,0.000000,1.054146
126,4.2000,735,220,14,0.746429,-1.100000,7.316617,7.436399,-2.357143,-0.235714,0.000000,2.368899
127,4.2333,736,219,14,0.754286,-1.107857,7.316617,7.438358,0.235714,-0.235714,0.000000,0.333350
128,4.2667,727,216,14,0.683571,-1.131429,7.316617,7.435071,-2.121429,-0.707143,0.000000,2.236182
129,4.3000,730,219,14,0.707143,-1.107857,7.316617,7.433726,0.707143,0.707143,0.000000,1.000051
130,4.3333,723,220,14,0.652143,-1.100000,7.316617,7.427528,-1.650000,0.235714,0.000000,1.666752
131,4.3667,723,221,14,0.652143,-1.092143,7.316617,7.426368,0.000000,0.235714,0.000000,0.235714
132,4.4000,715,223,14,0.589286,-1.076429,7.316617,7.418816,-1.885714,0.471429,0.000000,1.943750
133,4.4333,712,221,14,0.565714,-1.092143,7.316617,7.419278,-0.707143,-0.471429,0.000000,0.849880
134,4.4667,706,220,14,0.518571,-1.100000,7.316617,7.416994,-1.414286,-0.235714,0.000000,1.433794
135,4.5000,703,220,14,0.495000,-1.100000,7.316617,7.415383,-0.707143,0.000000,0.000000,0.707143
136,4.5333,701,220,14,0.479286,-1.100000,7.316617,7.414351,-0.471429,0.000000,0.000000,0.471429
137,4.5667,697,221,14,0.447857,-1.092143,7.316617,7.411224,-0.942857,0.235714,0.000000,0.971875
138,4.6000,697,220,13,0.482308,-1.184615,7.879434,7.982569,1.033516,-2.774176,16.884500,17.142070
139,4.6333,693,222,14,0.416429,-1.084286,7.316617,7.408237,-1.976374,3.009890,-16.884500,17.264178
140,4.6667,695,222,14,0.432143,-1.084286,7.316617,7.409137,0.471429,0.000000,0.000000,0.471429
141,4.7000,688,222,13,0.406154,-1.167692,7.879434,7.975835,-0.779670,-2.502198,16.884500,17.086698
142,4.7333,690,221,14,0.392857,-1.092143,7.316617,7.408103,-0.398901,2.266484,-16.884500,17.040611
143,4.7667,688,222,14,0.377143,-1.084286,7.316617,7.406132,-0.471429,0.235714,0.000000,0.527073
144,4.8000,690,222,14,0.392857,-1.084286,7.316617,7.406949,0.471429,0.000000,0.000000,0.471429
145,4.8333,688,222,14,0.377143,-1.084286,7.316617,7.406132,-0.471429,0.000000,0.000000,0.471429
146,4.8667,691,222,14,0.400714,-1.084286,7.316617,7.407370,0.707143,0.000000,0.000000,0.707143
147,4.9000,691,222,14,0.400714,-1.084286,7.316617,7.407370,0.000000,0.000000,0.000000,0.000000
148,4.9333,694,221,14,0.424286,-1.092143,7.316617,7.409836,0.707143,-0.235714,0.000000,0.745394
149,4.9667,695,221,14,0.432143,-1.092143,7.316617,7.410291,0.235714,0.000000,0.000000,0.235714
150,5.0000,698,222,14,0.455714,-1.084286,7.316617,7.410549,0.707143,0.235714,0.000000,0.745394
151,5.0333,701,222,14,0.479286,-1.084286,7.316617,7.412036,0.707143,0.000000,0.000000,0.707143
152,5.0667,706,221,14,0.518571,-1.092143,7.316617,7.415833,1.178571,-0.235714,0.000000,1.201912
153,5.1000,710,221,14,0.550000,-1.092143,7.316617,7.418097,0.942857,0.000000,0.000000,0.942857
154,5.1333,717,221,14,0.605000,-1.092143,7.316617,7.422377,1.650000,0.000000,0.000000,1.650000
155,5.1667,723,220,14,0.652143,-1.100000,7.316617,7.427528,1.414286,-0.235714,0.000000,1.433794
156,5.2000,732,220,13,0.778462,-1.184615,7.879434,8.005922,3.789560,-2.538462,16.884500,17.489737
157,5.2333,736,219,14,0.754286,-1.107857,7.316617,7.438358,-0.725275,2.302747,-16.884500,17.056231
158,5.2667,741,217,15,0.740667,-1.048667,6.828842,6.948480,-0.408571,1.775714,-14.633234,14.746241
159,5.3000,750,217,15,0.806667,-1.048667,6.828842,6.955825,1.980000,0.000000,0.000000,1.980000
160,5.3333,755,218,15,0.843333,-1.041333,6.828842,6.959071,1.100000,0.220000,0.000000,1.121784
161,5.3667,764,221,17,0.802353,-0.899412,6.025449,6.144815,-1.229412,4.257647,-24.101797,24.505828
162,5.4000,767,229,15,0.931333,-0.960667,6.828842,6.958689,3.869412,-1.837647,24.101797,24.479499
163,5.4333,780,235,15,1.026667,-0.916667,6.828842,6.966162,2.860000,1.320000,0.000000,3.149921
164,5.4667,786,240,16,1.003750,-0.825000,6.402040,6.532553,-0.687500,2.750000,-12.804079,13.114100
165,5.5000,798,245,17,1.022353,-0.744118,6.025449,6.156700,0.558088,2.426471,-11.297717,11.568822
166,5.5333,807,248,16,1.148125,-0.770000,6.402040,6.549596,3.773162,-0.776471,11.297717,11.936418
167,5.5667,820,254,17,1.164706,-0.685882,6.025449,6.175193,0.497426,2.523529,-11.297717,11.586805
168,5.6000,835,261,18,1.191667,-0.605000,5.690702,5.845527,0.808824,2.426471,-10.042415,10.363014
169,5.6333,849,267,18,1.277222,-0.568333,5.690702,5.859897,2.566667,1.100000,0.000000,2.792450
170,5.6667,864,273,18,1.368889,-0.531667,5.690702,5.877126,2.750000,1.100000,0.000000,2.961841
171,5.7000,883,281,19,1.406842,-0.457368,5.391191,5.590468,1.138596,2.228947,-8.985319,9.327409
172,5.7333,896,286,20,1.408000,-0.407000,5.121632,5.327216,0.034737,1.511053,-8.086787,8.226823
173,5.7667,914,292,20,1.507000,-0.374000,5.121632,5.351826,2.970000,0.990000,0.000000,3.130655
174,5.8000,925,299,20,1.567500,-0.335500,5.121632,5.366631,1.815000,1.155000,0.000000,2.151337
175,5.8333,940,307,21,1.571429,-0.277619,4.877745,5.132139,0.117857,1.736429,-7.316617,7.520768
